fund_ISIN,fund_code,fund_name,data_uploaded
GB00BBX46522,0P0000Z8O1,abrdn Global Smaller Companies Class S - Accumulation ,Uploaded
GB00B2NRNX53,0P0000A8XL,Aviva Investors International Index Tracking Class 2 - Accumulation ,
GB00BV0V1394,0P00000QWU,Baillie Gifford Managed Class B - Accumulation ,
GB0005858195,0P00000QWH,Baillie Gifford UK Equity Alpha Class B - Accumulation ,
GB00BJS8SJ34,0P000125KV,Fidelity Index World Class P - Accumulation ,
GB00B41YBW71,0P0000RU81,Fundsmith Equity Class I - Accumulation ,
GB0032033127,0P00000STJ,HL UK Income Fund Class A - Accumulation ,
GB00BD0B7C49,0P0001BH5V,IFSL Evenlode Income Class B - Accumulation ,
GB00BG0QP265,0P000102M0,Legal & General Global 100 Index Class C - Accumulation ,
IE00BJSPMJ28,0P00012PN5,Lindsell Train Global Equity Class D - Income ,
IE00B644PG05,0P0000SVHO,Lindsell Train Global Equity Inclusive - Class A - Income ,
GB00B8HWPP49,0P00015BZ7,Liontrust UK Smaller Companies Class I - Accumulation ,
IE00B61ZVB30,0P000136HH,Ranmore Global Equity Investor - Accumulation ,
GB00B7FQLN12,0P0000VDYA,Rathbone Global Opportunities Class I - Accumulation ,
GB00BH0P2M97,0P0001FE43,Rathbone Global Opportunities Class S - Accumulation ,
GB0030349095,0P00000HST,Rathbone Global Opportunities Inclusive - Class R - Accumulation ,
??,,Unit Rebate Re-Investment Lindsell Train Global Equity ,
??,,Unit Rebate Re-Investment Rathbone Global Opportunities ,
GB00B41XG308,0P0000TKZO,Vanguard LifeStrategy 100% Equity Accumulation ,Uploaded
GB00BZ8GWT74,0P000184GO,Invesco Global ex-UK Enhanced Index Class Z - Accumulation ,
No_ISIN,No_Fund_Code,Not a fund,